original_composition,status,material_id,e_above_hull,saved_filename
Li1.3La0.3Ti1.7(PO4)3,Not Found,,,
Li1.4La0.4Ti1.6(PO4)3,Not Found,,,
Li1.5La0.5Ti1.5(PO4)3,Not Found,,,
LiSn2(PO4)3,Success,mp-554917,0.0,LiSn2(PO4)3_mp-554917.cif
Li1.3Sc0.3Ge1.7(PO4)3,Not Found,,,
Li1.5Ga0.5Ge1.5(PO4)3,Not Found,,,
Li1.3Fe0.3Ge1.7(PO4)3,Not Found,,,
Li1.5Sc0.5Ge1.5(PO4)3,Not Found,,,
Li1.7Fe0.7Ge1.3(PO4)3,Not Found,,,
Li1.7Ga0.7Ge1.3(PO4)3,Not Found,,,
Li1.3In0.3Ge1.7(PO4)3,Not Found,,,
Li1.5In0.5Ge1.5(PO4)3,Not Found,,,
Li1.45Al0.45Ge0.2Ti1.35(PO4)3,Not Found,,,
Li1.40Al0.4Ge0.2Ti1.4(PO4)3,Not Found,,,
Li1.50Al0.50Ge0.2Ti1.3(PO4)3,Not Found,,,
Li1.35Al0.35Ge0.2Ti1.45(PO4)3,Not Found,,,
Li1.55Al0.55Ge0.2Ti1.25(PO4)3,Not Found,,,
Li1.45Al0.45Ti1.55(PO4),Not Found,,,
Li7Ge3PS12,Success,mp-696138,0.0187605339,Li7Ge3PS12_mp-696138.cif
Li3.2PO3.1N0.7,Success,mp-1020011,0.0,Li3.2PO3.1N0.7_mp-1020011.cif
LiFePO4 ,Success,mp-19017,0.0,LiFePO4_mp-19017.cif
Li6PS5Cl,Success,mp-985592,0.08294630153846101,Li6PS5Cl_mp-985592.cif
Li4P2S6,Success,mp-38200,0.121463584900173,Li4P2S6_mp-38200.cif
Li3OBr,Success,mp-28593,0.03706398,Li3OBr_mp-28593.cif
"""(Li2O)50((SeO2)0.5 (B2O3)0.5)50""",Not Found,,,
LiTi2P3O12,Success,mp-18640,0.0,LiTi2P3O12_mp-18640.cif
LiZr2P3O12,Success,mp-10499,0.0,LiZr2P3O12_mp-10499.cif
Li1.6Al0.6Ge1.4 (PO4)3,Not Found,,,
Li6.25PS5.25Cl0.75,Success,mp-1040450,0.016335492291666,Li6.25PS5.25Cl0.75_mp-1040450.cif
Li3.8Ge0.8P0.2O4,Success,mp-541272,0.009428664953696,Li3.8Ge0.8P0.2O4_mp-541272.cif
Li3PO4,Success,mp-13725,0.0,Li3PO4_mp-13725.cif
Li3VO4,Success,mp-19219,0.0,Li3VO4_mp-19219.cif
Li3.2Ge0.2P0.8O4,Success,mp-541272,0.009428664953696,Li3.2Ge0.2P0.8O4_mp-541272.cif
Li3V0.6P0.4O4,Success,mp-6396,0.0,Li3V0.6P0.4O4_mp-6396.cif
Li3P0.2V0.8O4,Success,mp-6396,0.0,Li3P0.2V0.8O4_mp-6396.cif
Li3.6Ge0.6P0.4O4,Success,mp-541272,0.009428664953696,Li3.6Ge0.6P0.4O4_mp-541272.cif
Li3.4Ge0.4P0.6O4,Success,mp-541272,0.009428664953696,Li3.4Ge0.4P0.6O4_mp-541272.cif
Li3.2Ge0.2V0.8O4,Success,mp-559680,0.0101981255625,Li3.2Ge0.2V0.8O4_mp-559680.cif
Li3.6Ge0.6V0.4O4,Success,mp-559680,0.0101981255625,Li3.6Ge0.6V0.4O4_mp-559680.cif
Li3.8Ge0.8V0.2O4,Success,mp-559680,0.0101981255625,Li3.8Ge0.8V0.2O4_mp-559680.cif
Li3.4Ge0.4V0.6O4,Success,mp-559680,0.0101981255625,Li3.4Ge0.4V0.6O4_mp-559680.cif
Li3P0.6V0.4O4,Success,mp-6396,0.0,Li3P0.6V0.4O4_mp-6396.cif
Li4GeO4,Success,mp-4558,0.0,Li4GeO4_mp-4558.cif
Li3P0.8V0.2O4,Success,mp-6396,0.0,Li3P0.8V0.2O4_mp-6396.cif
Li6PS5Br,Success,mp-985591,0.050508101730768,Li6PS5Br_mp-985591.cif
Li6PS5I,Success,mp-950995,0.0021249259615370004,Li6PS5I_mp-950995.cif
Li5PS4(BH4)2,Not Found,,,
"""(Li2S)0.75 (P2S5)0.25""",Not Found,,,
LiBH4,Success,mp-1192133,0.0,LiBH4_mp-1192133.cif
Li0.245La0.592Ti0.98Mn0.02O3,Not Found,,,
La0.55Li0.36Ti0.995Al0.005O3,Not Found,,,
La0.54Li0.36TiO3,Success,mp-9406,0.020434331617655,La0.54Li0.36TiO3_mp-9406.cif
La0.51Li0.36Ti0.95W0.05O3,Not Found,,,
La0.56Li0.36Ti0.95Al0.05O3,Not Found,,,
La0.55Li0.36Ti0.95Ge0.05O3,Not Found,,,
La0.58Li0.36Ti0.95Mg0.05O3,Not Found,,,
La0.55Li0.36Ti0.95Mn0.05O3,Not Found,,,
La0.55Li0.36Ti0.95Ru0.05O3,Not Found,,,
Li0.34La0.51TiO2.94,Success,mp-9406,0.020434331617655,Li0.34La0.51TiO2.94_mp-9406.cif
(La0.5Li0.5)TiO3,Success,mp-9406,0.020434331617655,(La0.5Li0.5)TiO3_mp-9406.cif
Sm0.52Li0.38TiO2.97,Not Found,,,
Li0.10La0.63TiO3,Success,mp-9406,0.020434331617655,Li0.10La0.63TiO3_mp-9406.cif
(La0.5Li0.5)0.75(La0.5Na0.5)0.25TiO3,Success,mp-676447,0.025497709541649,(La0.5Li0.5)0.75(La0.5Na0.5)0.25TiO3_mp-676447.cif
Li0.34Pr0.56TiO3,Not Found,,,
Nd0.55Li0.34TiO3,Success,mp-1105497,0.009516796374995001,Nd0.55Li0.34TiO3_mp-1105497.cif
Li0.5(La0.4Nd0.1)TiO3,Not Found,,,
Li0.34La0.56TiO3,Success,mp-9406,0.020434331617655,Li0.34La0.56TiO3_mp-9406.cif
Nd0.25Li0.25TaO3,Not Found,,,
Li0.25La0.25TaO3,Success,mp-15901,0.042852078211108,Li0.25La0.25TaO3_mp-15901.cif
Li0.5Sr0.5Cr0.25Ta0.75O3,Not Found,,,
Li0.5Sr0.5Fe0.25Ta0.75O3,Not Found,,,
 La0.29Li0.12NbO3,Success,mp-761986,0.053299920227266005,La0.29Li0.12NbO3_mp-761986.cif
La0.283Li0.15NbO3,Success,mp-761986,0.053299920227266005,La0.283Li0.15NbO3_mp-761986.cif
La0.273Li0.18NbO3,Success,mp-761986,0.053299920227266005,La0.273Li0.18NbO3_mp-761986.cif
La0.303Li0.09NbO3,Success,mp-761986,0.053299920227266005,La0.303Li0.09NbO3_mp-761986.cif
La0.313Li0.06NbO3,Success,mp-761986,0.053299920227266005,La0.313Li0.06NbO3_mp-761986.cif
Li0.1Sr0.8Ti0.7Nb0.3O3,Not Found,,,
Li0.3Sr0.6Ti0.20Fe0.30Ta0.5O3,Not Found,,,
Li0.3Sr0.6Ti0.35Fe0.15Ta0.5O3,Not Found,,,
Li0.3Sr0.6Ti0.40Fe0.10Ta0.5O3,Not Found,,,
Li0.3Sr0.6Ti0.45Fe0.05Ta0.5O3,Not Found,,,
Li0.3Sr0.6Ti0.5Ta0.5O3,Not Found,,,
Li0.3Sr0.6Ti0.5Nb0.5O3,Not Found,,,
Li0.25La0.41Sr0.25TiO3,Success,mp-1218768,0.058240624640623004,Li0.25La0.41Sr0.25TiO3_mp-1218768.cif
Li0.15La0.51Sr0.15TiO3,Success,mp-1218768,0.058240624640623004,Li0.15La0.51Sr0.15TiO3_mp-1218768.cif
LiSrTiTaO6,Not Found,,,
LiSr1.65Ti1.3Ta1.7O9,Not Found,,,
LiSr1.65Ti1.3Nb1.7O9,Not Found,,,
